contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spread,moneyness
AAPL250620C00195000,2025-06-16 19:59:52+00:00,195.0,4.5,0.0,0.0,0.0,0.0,7677.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.0175384521484375
AAPL250620C00197500,2025-06-16 19:59:59+00:00,197.5,2.76,0.0,0.0,0.0,0.0,28591.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.004658218576938291
AAPL250620C00200000,2025-06-16 19:59:58+00:00,200.0,1.5,0.0,0.0,0.0,0.0,66793.0,0.0,0.01563484375,False,REGULAR,USD,call,2025-06-20,0.0,-0.007900009155273438
AAPL250620C00202500,2025-06-16 19:59:55+00:00,202.5,0.73,0.0,0.0,0.0,0.0,33934.0,0.0,0.062509375,False,REGULAR,USD,call,2025-06-20,0.0,-0.020148157190393517
AAPL250620C00205000,2025-06-16 19:59:59+00:00,205.0,0.33,0.0,0.0,0.0,0.0,29333.0,0.0,0.062509375,False,REGULAR,USD,call,2025-06-20,0.0,-0.03209756990758384
AAPL250620C00207500,2025-06-16 19:59:56+00:00,207.5,0.17,0.0,0.0,0.0,0.0,12306.0,0.0,0.12500875,False,REGULAR,USD,call,2025-06-20,0.0,-0.04375904496893825
AAPL250620C00210000,2025-06-16 19:59:54+00:00,210.0,0.1,0.0,0.0,0.0,0.0,28223.0,0.0,0.12500875,False,REGULAR,USD,call,2025-06-20,0.0,-0.05514286586216518
AAPL250620C00212500,2025-06-16 19:59:49+00:00,212.5,0.07,0.0,0.0,0.0,0.0,6258.0,0.0,0.12500875,False,REGULAR,USD,call,2025-06-20,0.0,-0.0662588321461397
AAPL250620C00215000,2025-06-16 19:59:35+00:00,215.0,0.05,0.0,0.0,0.0,0.0,10498.0,0.0,0.12500875,False,REGULAR,USD,call,2025-06-20,0.0,-0.07711628758630087
AAPL250620C00217500,2025-06-16 19:59:54+00:00,217.5,0.04,0.0,0.0,0.0,0.0,3327.0,0.0,0.2500075,False,REGULAR,USD,call,2025-06-20,0.0,-0.08772414634967672
AAPL250620C00220000,2025-06-16 19:57:25+00:00,220.0,0.03,0.0,0.0,0.0,0.0,4290.0,0.0,0.2500075,False,REGULAR,USD,call,2025-06-20,0.0,-0.09809091741388494
AAPL250620C00222500,2025-06-16 19:25:26+00:00,222.5,0.02,0.0,0.0,0.0,0.0,328.0,0.0,0.2500075,False,REGULAR,USD,call,2025-06-20,0.0,-0.10822472733058286
AAPL250620C00225000,2025-06-16 19:49:51+00:00,225.0,0.01,0.0,0.0,0.0,0.0,3091.0,0.0,0.2500075,False,REGULAR,USD,call,2025-06-20,0.0,-0.11813334147135417
